Product_Name,Brand,Category,Usage_Frequency,Price_USD,Rating,Number_of_Reviews,Product_Size,Skin_Type,Gender_Target,Packaging_Type,Main_Ingredient,Cruelty_Free,Country_of_Origin
4076,Tatcha,Bronzer,Monthly,34.12,3.2,2654,200ml,Dry,Unisex,Spray,Glycerin,FALSE,Japan
4077,Kiehl’s,Moisturizer,Monthly,141.43,4.7,1440,50ml,Combination,Unisex,Stick,Hyaluronic Acid,TRUE,Germany
4078,Ilia Beauty,Moisturizer,Daily,104.76,4.5,7146,50ml,Sensitive,Male,Stick,Salicylic Acid,TRUE,Germany
4079,Tatcha,Lip Gloss,Occasional,15.09,4.2,6526,250ml,Sensitive,Unisex,Stick,Glycerin,FALSE,France
4080,Tatcha,Blush,Daily,30.27,4.7,3594,30ml,Normal,Unisex,Tube,Retinol,TRUE,South Korea
4081,Pat McGrath Labs,Lip Gloss,Weekly,80.42,2.8,7101,50ml,Sensitive,Female,Jar,Glycerin,FALSE,Italy
4082,Kiehl’s,Concealer,Daily,113.83,1.8,5037,200ml,Normal,Unisex,Spray,Aloe Vera,TRUE,USA
4083,Juvia’s Place,Foundation,Weekly,77.77,3.5,4513,100ml,Normal,Female,Spray,Aloe Vera,FALSE,UK
4084,Charlotte Tilbury,Blush,Monthly,147.22,2.8,3396,100ml,Sensitive,Male,Jar,Glycerin,TRUE,UK
4085,Kylie Cosmetics,Eye Shadow,Occasional,148.94,1.2,9726,100ml,Oily,Male,Compact,Hyaluronic Acid,FALSE,Australia
4086,Tatcha,Face Mask,Monthly,121.01,1.4,6017,100ml,Combination,Male,Jar,Aloe Vera,FALSE,Italy
4087,Hourglass,Serum,Daily,100.76,4.1,3162,50ml,Normal,Male,Tube,Shea Butter,TRUE,USA
4088,Glossier,Blush,Monthly,27.81,4.0,9247,250ml,Combination,Unisex,Jar,Salicylic Acid,TRUE,Italy
4089,IT Cosmetics,Face Mask,Weekly,72.85,3.9,2551,100ml,Dry,Male,Tube,Aloe Vera,TRUE,Japan
4090,Kiehl’s,Exfoliator,Occasional,73.27,4.6,8280,200ml,Dry,Unisex,Spray,Shea Butter,FALSE,UK
4091,Too Faced,Lip Liner,Daily,112.05,2.9,1794,30ml,Oily,Female,Bottle,Aloe Vera,TRUE,UK
4092,Clinique,Lip Gloss,Occasional,25.56,2.8,4604,100ml,Combination,Female,Bottle,Shea Butter,FALSE,UK
4093,Bourjois,Exfoliator,Daily,18.02,4.1,7854,30ml,Sensitive,Unisex,Compact,Vitamin C,FALSE,France
4094,Tatcha,Lip Liner,Daily,81.32,3.8,4089,200ml,Oily,Female,Jar,Shea Butter,FALSE,Germany
4095,Yves Saint Laurent,Face Oil,Weekly,55.8,2.0,2882,250ml,Sensitive,Male,Jar,Glycerin,TRUE,Japan
4096,Perricone MD,Concealer,Monthly,65.77,4.8,4647,150ml,Oily,Female,Stick,Vitamin C,FALSE,Japan
4097,Hourglass,Contour,Daily,14.9,4.1,8781,100ml,Oily,Unisex,Tube,Retinol,TRUE,Italy
4098,Tarte,Lip Gloss,Weekly,94.69,4.5,6906,200ml,Oily,Female,Bottle,Retinol,TRUE,Italy
4099,NARS,Bronzer,Occasional,15.39,4.8,7742,150ml,Normal,Unisex,Tube,Hyaluronic Acid,TRUE,Germany
4100,Sisley,Eye Shadow,Monthly,12.96,4.2,3549,250ml,Combination,Unisex,Bottle,Vitamin C,TRUE,Germany
4101,Becca,Cleanser,Occasional,103.14,3.0,633,100ml,Oily,Female,Tube,Glycerin,FALSE,France
4102,Morphe,Lipstick,Weekly,149.75,3.6,4230,100ml,Oily,Unisex,Stick,Aloe Vera,FALSE,Australia
4103,RMS Beauty,Concealer,Daily,35.8,2.3,4028,50ml,Sensitive,Male,Spray,Vitamin C,FALSE,Australia
4104,E.l.f.,Bronzer,Daily,15.66,4.8,8570,200ml,Oily,Unisex,Bottle,Vitamin C,TRUE,Japan
4105,Tatcha,Lipstick,Monthly,48.66,3.5,3217,100ml,Dry,Unisex,Spray,Shea Butter,FALSE,Australia
4106,Yves Saint Laurent,Setting Spray,Weekly,112.07,1.3,4401,50ml,Dry,Unisex,Compact,Glycerin,TRUE,South Korea
4107,Rare Beauty,Contour,Monthly,102.61,3.0,2223,30ml,Sensitive,Unisex,Compact,Retinol,TRUE,France
4108,Sisley,Foundation,Weekly,101.33,3.8,2557,200ml,Normal,Female,Bottle,Hyaluronic Acid,TRUE,South Korea
4109,Tarte,Eye Shadow,Weekly,140.47,2.5,6366,250ml,Dry,Male,Stick,Hyaluronic Acid,TRUE,South Korea
4110,Drunk Elephant,Cleanser,Weekly,45.58,4.7,9412,100ml,Sensitive,Female,Stick,Glycerin,TRUE,France
4111,Juvia’s Place,Primer,Daily,56.0,2.9,2426,50ml,Combination,Male,Jar,Retinol,FALSE,South Korea
4112,Huda Beauty,Highlighter,Occasional,119.51,1.5,8521,200ml,Normal,Unisex,Jar,Glycerin,FALSE,Germany
4113,Too Faced,Concealer,Occasional,64.47,1.0,4956,30ml,Sensitive,Unisex,Tube,Glycerin,FALSE,Japan
4114,Farsali,Bronzer,Monthly,81.37,3.9,8947,200ml,Combination,Male,Bottle,Glycerin,TRUE,UK
4115,Urban Decay,Lipstick,Monthly,71.94,3.0,8001,50ml,Dry,Male,Bottle,Glycerin,TRUE,Japan
4116,Laura Mercier,Cleanser,Daily,85.64,1.5,2019,100ml,Combination,Female,Compact,Hyaluronic Acid,FALSE,Italy
4117,Yves Saint Laurent,Exfoliator,Monthly,51.19,2.3,2565,250ml,Normal,Female,Jar,Glycerin,TRUE,Italy
4118,Kylie Cosmetics,Cleanser,Monthly,147.85,4.9,3011,200ml,Oily,Male,Stick,Aloe Vera,FALSE,France
4119,Urban Decay,Moisturizer,Occasional,98.8,4.6,9134,250ml,Normal,Female,Jar,Aloe Vera,FALSE,Germany
4120,Pat McGrath Labs,Face Mask,Weekly,41.0,2.6,1942,200ml,Oily,Unisex,Spray,Vitamin C,TRUE,UK
4121,Natasha Denona,Eyeliner,Occasional,141.0,2.0,3129,30ml,Normal,Male,Tube,Salicylic Acid,TRUE,USA
4122,Rare Beauty,Mascara,Weekly,114.44,4.3,3215,100ml,Dry,Female,Bottle,Retinol,TRUE,France
4123,Anastasia Beverly Hills,Lip Liner,Monthly,43.84,1.1,3647,150ml,Combination,Male,Compact,Retinol,FALSE,France
4124,Morphe,Concealer,Weekly,104.84,2.3,6493,200ml,Normal,Unisex,Compact,Hyaluronic Acid,FALSE,Australia
4125,Make Up For Ever,Lip Liner,Occasional,50.25,3.5,8703,250ml,Sensitive,Female,Stick,Glycerin,FALSE,France
4126,Charlotte Tilbury,Concealer,Weekly,106.68,3.3,6178,250ml,Normal,Unisex,Spray,Aloe Vera,FALSE,UK
4127,Ilia Beauty,Moisturizer,Monthly,83.67,4.2,684,150ml,Sensitive,Female,Tube,Retinol,FALSE,South Korea
4128,Yves Saint Laurent,Highlighter,Monthly,48.19,2.0,4172,100ml,Dry,Male,Spray,Glycerin,TRUE,USA
4129,Charlotte Tilbury,Cleanser,Occasional,142.01,4.7,117,100ml,Normal,Female,Bottle,Shea Butter,FALSE,Japan
4130,Urban Decay,Contour,Occasional,93.25,2.3,554,150ml,Dry,Female,Jar,Aloe Vera,FALSE,USA
4131,Glossier,Setting Spray,Weekly,135.11,4.5,8406,150ml,Normal,Female,Spray,Retinol,FALSE,Australia
4132,Tatcha,CC Cream,Weekly,92.26,4.9,452,100ml,Sensitive,Unisex,Spray,Glycerin,TRUE,France
4133,Bobby Brown,Cleanser,Occasional,47.75,4.4,7608,50ml,Combination,Female,Jar,Glycerin,TRUE,Australia
4134,Shiseido,Blush,Monthly,65.75,1.6,8286,100ml,Normal,Female,Spray,Salicylic Acid,TRUE,USA
4135,Bobby Brown,Contour,Weekly,130.19,3.3,1379,100ml,Dry,Unisex,Jar,Vitamin C,TRUE,Germany
4136,Bite Beauty,Face Oil,Monthly,45.26,4.2,6884,200ml,Dry,Female,Spray,Vitamin C,TRUE,Australia
4137,Laura Mercier,Mascara,Daily,87.32,1.5,6447,250ml,Combination,Male,Compact,Salicylic Acid,FALSE,Germany
4138,NARS,Eyeliner,Weekly,20.01,1.2,8949,250ml,Normal,Unisex,Spray,Salicylic Acid,TRUE,Japan
4139,Fenty Beauty,Eyeliner,Monthly,76.67,1.4,4049,100ml,Sensitive,Female,Bottle,Aloe Vera,FALSE,USA
4140,Tatcha,Exfoliator,Occasional,62.04,2.1,7145,250ml,Dry,Female,Bottle,Shea Butter,FALSE,Italy
4141,Patrick Ta,Lip Liner,Occasional,91.31,4.3,5773,50ml,Normal,Unisex,Jar,Retinol,TRUE,Germany
4142,Yves Saint Laurent,Highlighter,Weekly,39.81,4.4,8844,30ml,Combination,Unisex,Tube,Shea Butter,TRUE,UK
4143,RMS Beauty,Makeup Remover,Daily,16.53,4.2,8236,100ml,Combination,Unisex,Stick,Retinol,FALSE,Germany
4144,Bobby Brown,Foundation,Monthly,34.03,1.1,1676,150ml,Oily,Unisex,Stick,Shea Butter,FALSE,Australia
4145,Becca,Setting Spray,Weekly,14.09,2.1,5893,200ml,Sensitive,Unisex,Spray,Aloe Vera,TRUE,Germany
4146,Juvia’s Place,Moisturizer,Weekly,147.39,4.1,9013,250ml,Oily,Unisex,Tube,Aloe Vera,FALSE,Italy
4147,Patrick Ta,Bronzer,Daily,82.51,4.4,7666,50ml,Combination,Unisex,Compact,Aloe Vera,TRUE,Japan
4148,Charlotte Tilbury,Concealer,Daily,31.77,2.9,5373,30ml,Oily,Male,Jar,Glycerin,TRUE,Italy
4149,Shiseido,Cleanser,Monthly,69.6,2.0,6159,30ml,Normal,Unisex,Bottle,Shea Butter,FALSE,France
4150,Milk Makeup,Setting Spray,Monthly,69.32,2.8,3164,100ml,Oily,Female,Tube,Vitamin C,FALSE,Japan
4151,Hourglass,Blush,Weekly,48.5,1.5,1841,100ml,Normal,Unisex,Stick,Vitamin C,FALSE,Germany
4152,Shiseido,Powder,Monthly,23.14,2.8,8188,30ml,Combination,Female,Spray,Shea Butter,TRUE,South Korea
4153,Perricone MD,Moisturizer,Monthly,34.16,2.6,4262,30ml,Normal,Male,Jar,Retinol,FALSE,Australia
4154,Anastasia Beverly Hills,Face Mask,Daily,27.88,4.9,405,30ml,Normal,Female,Bottle,Hyaluronic Acid,TRUE,Japan
4155,Perricone MD,Highlighter,Occasional,39.65,4.9,3037,30ml,Sensitive,Unisex,Spray,Aloe Vera,FALSE,South Korea
4156,Kiehl’s,Serum,Daily,58.52,4.0,3600,250ml,Dry,Male,Tube,Vitamin C,FALSE,Italy
4157,Rare Beauty,Concealer,Daily,96.32,3.6,4840,50ml,Sensitive,Unisex,Spray,Salicylic Acid,TRUE,South Korea
4158,Shiseido,Eye Shadow,Weekly,140.17,4.1,8534,50ml,Combination,Female,Spray,Aloe Vera,FALSE,Japan
4159,Tarte,Serum,Weekly,46.79,2.0,4915,250ml,Oily,Male,Spray,Aloe Vera,FALSE,Japan
4160,Ilia Beauty,Contour,Monthly,117.99,2.7,7750,100ml,Sensitive,Female,Bottle,Retinol,TRUE,Germany
4161,Juvia’s Place,BB Cream,Daily,62.19,2.2,4709,150ml,Dry,Male,Bottle,Glycerin,FALSE,France
4162,Drunk Elephant,Eyeliner,Weekly,15.73,2.1,2588,200ml,Sensitive,Female,Spray,Shea Butter,TRUE,UK
4163,Make Up For Ever,Powder,Daily,122.04,4.4,6102,200ml,Dry,Male,Bottle,Retinol,TRUE,South Korea
4164,Clinique,Serum,Monthly,101.54,3.9,4090,150ml,Dry,Female,Stick,Shea Butter,TRUE,Japan
4165,Rare Beauty,Serum,Weekly,54.47,4.1,7762,30ml,Sensitive,Male,Jar,Shea Butter,FALSE,USA
4166,Morphe,Eye Shadow,Occasional,90.59,2.1,3072,30ml,Normal,Unisex,Bottle,Glycerin,TRUE,Germany
4167,Glossier,Eyeliner,Daily,19.75,1.9,2204,250ml,Combination,Male,Tube,Aloe Vera,FALSE,Australia
4168,Perricone MD,Primer,Monthly,90.07,2.0,6692,150ml,Sensitive,Female,Stick,Shea Butter,FALSE,USA
4169,Glossier,Foundation,Monthly,141.58,2.6,2808,250ml,Normal,Female,Jar,Aloe Vera,TRUE,South Korea
4170,Glossier,Primer,Monthly,86.44,3.2,482,150ml,Normal,Unisex,Jar,Glycerin,FALSE,South Korea
4171,Sisley,Mascara,Monthly,76.98,2.1,3845,30ml,Combination,Female,Jar,Hyaluronic Acid,FALSE,UK
4172,Kiehl’s,Exfoliator,Daily,52.34,4.8,2624,150ml,Dry,Unisex,Jar,Retinol,TRUE,Germany
4173,E.l.f.,Bronzer,Occasional,101.92,2.7,5806,30ml,Dry,Male,Jar,Aloe Vera,FALSE,Italy
4174,Farsali,Lipstick,Occasional,42.45,2.3,3220,100ml,Dry,Female,Compact,Glycerin,TRUE,UK
4175,Kiehl’s,Lip Gloss,Occasional,91.76,1.9,9538,50ml,Sensitive,Female,Tube,Retinol,TRUE,USA
4176,Tatcha,Concealer,Occasional,42.44,2.2,188,150ml,Dry,Male,Spray,Hyaluronic Acid,TRUE,Germany
4177,Fenty Beauty,Face Oil,Weekly,44.44,3.7,9299,250ml,Dry,Male,Spray,Shea Butter,FALSE,UK
4178,Fenty Beauty,Contour,Occasional,101.02,1.7,5960,100ml,Sensitive,Male,Spray,Retinol,FALSE,Germany
4179,NARS,Contour,Weekly,35.25,2.8,3633,30ml,Oily,Male,Stick,Vitamin C,FALSE,Italy
4180,Bobby Brown,CC Cream,Weekly,131.42,3.5,7769,250ml,Sensitive,Female,Tube,Glycerin,TRUE,Australia
4181,Pat McGrath Labs,Lip Gloss,Daily,86.56,3.9,7676,50ml,Normal,Unisex,Tube,Salicylic Acid,FALSE,USA
4182,Pat McGrath Labs,Exfoliator,Occasional,149.5,3.2,589,100ml,Combination,Male,Bottle,Vitamin C,FALSE,USA
4183,Milk Makeup,Bronzer,Weekly,106.4,4.1,3617,150ml,Normal,Unisex,Jar,Aloe Vera,TRUE,France
4184,IT Cosmetics,Makeup Remover,Occasional,117.81,4.5,3592,50ml,Normal,Unisex,Bottle,Shea Butter,TRUE,Germany
4185,Urban Decay,Face Oil,Occasional,91.25,2.1,4179,100ml,Normal,Female,Jar,Hyaluronic Acid,FALSE,UK
4186,KVD Beauty,Contour,Daily,89.57,2.6,855,200ml,Combination,Unisex,Tube,Retinol,TRUE,Japan
4187,Charlotte Tilbury,Foundation,Occasional,43.97,1.6,8745,250ml,Oily,Unisex,Stick,Aloe Vera,TRUE,UK
4188,ColourPop,Lip Liner,Monthly,113.31,1.9,720,50ml,Oily,Female,Tube,Retinol,FALSE,France
4189,Danessa Myricks,Highlighter,Occasional,120.97,2.1,2083,100ml,Dry,Male,Spray,Glycerin,FALSE,Germany
4190,Kylie Cosmetics,Exfoliator,Daily,147.22,2.4,4140,200ml,Sensitive,Male,Bottle,Vitamin C,TRUE,Italy
4191,ColourPop,Serum,Daily,88.24,4.3,4870,200ml,Dry,Male,Bottle,Salicylic Acid,FALSE,Japan
4192,Juvia’s Place,Foundation,Daily,39.09,4.3,1289,30ml,Dry,Male,Spray,Salicylic Acid,TRUE,South Korea
4193,IT Cosmetics,Cleanser,Monthly,74.32,1.6,5220,150ml,Oily,Unisex,Bottle,Salicylic Acid,TRUE,South Korea
4194,Huda Beauty,Contour,Daily,11.7,4.3,53,50ml,Sensitive,Unisex,Tube,Aloe Vera,FALSE,Australia
4195,Perricone MD,Face Mask,Weekly,46.3,1.5,246,50ml,Combination,Female,Tube,Aloe Vera,FALSE,Australia
4196,Kylie Cosmetics,Blush,Daily,70.3,1.5,6438,150ml,Combination,Male,Compact,Vitamin C,TRUE,Japan
4197,Laura Mercier,Lip Gloss,Monthly,37.65,4.6,6612,50ml,Normal,Unisex,Spray,Shea Butter,FALSE,USA
4198,Patrick Ta,Face Oil,Occasional,111.65,4.1,2611,50ml,Oily,Male,Jar,Vitamin C,FALSE,Germany
4199,ColourPop,Makeup Remover,Occasional,44.4,2.0,8561,150ml,Sensitive,Unisex,Compact,Glycerin,TRUE,Australia
4200,Tarte,Makeup Remover,Occasional,116.56,2.1,7136,50ml,Normal,Male,Spray,Salicylic Acid,FALSE,USA
4201,KVD Beauty,Eyeliner,Occasional,104.67,3.7,2996,250ml,Dry,Male,Tube,Shea Butter,FALSE,USA
4202,Make Up For Ever,Lip Gloss,Occasional,57.29,1.9,2546,200ml,Sensitive,Female,Spray,Retinol,TRUE,South Korea
4203,Ilia Beauty,Lip Gloss,Monthly,78.23,3.3,7866,100ml,Normal,Female,Jar,Vitamin C,TRUE,Japan
4204,RMS Beauty,Foundation,Daily,61.37,3.4,9714,250ml,Combination,Male,Spray,Vitamin C,TRUE,Germany
4205,KVD Beauty,CC Cream,Occasional,149.69,1.8,6432,200ml,Dry,Female,Compact,Aloe Vera,FALSE,USA
4206,Perricone MD,Serum,Daily,35.88,4.2,8146,250ml,Sensitive,Male,Jar,Shea Butter,TRUE,Japan
4207,Bobby Brown,Makeup Remover,Monthly,40.75,3.7,9001,150ml,Sensitive,Unisex,Stick,Retinol,FALSE,USA
4208,Bobby Brown,Setting Spray,Occasional,93.57,1.1,4159,50ml,Oily,Female,Tube,Aloe Vera,FALSE,South Korea
4209,Bobby Brown,Contour,Weekly,85.92,2.8,335,200ml,Oily,Unisex,Tube,Salicylic Acid,TRUE,Italy
4210,Danessa Myricks,Serum,Monthly,21.92,3.0,5070,250ml,Oily,Unisex,Tube,Hyaluronic Acid,FALSE,France
4211,Charlotte Tilbury,Exfoliator,Weekly,11.48,4.0,5097,30ml,Oily,Female,Jar,Vitamin C,TRUE,Japan
4212,Tarte,Moisturizer,Occasional,66.69,2.3,9857,50ml,Combination,Unisex,Compact,Salicylic Acid,FALSE,Japan
4213,E.l.f.,Lipstick,Daily,17.88,2.2,1410,30ml,Sensitive,Unisex,Jar,Shea Butter,TRUE,Japan
4214,Farsali,Face Oil,Monthly,98.39,2.7,6942,200ml,Sensitive,Unisex,Jar,Hyaluronic Acid,TRUE,Germany
4215,ColourPop,Makeup Remover,Monthly,100.78,1.1,433,250ml,Combination,Female,Spray,Vitamin C,TRUE,Italy
4216,Too Faced,Mascara,Daily,38.04,2.2,5384,200ml,Dry,Unisex,Bottle,Vitamin C,FALSE,Italy
4217,Clinique,Moisturizer,Monthly,54.57,2.0,4652,30ml,Combination,Female,Spray,Salicylic Acid,TRUE,Japan
4218,E.l.f.,Moisturizer,Occasional,23.59,4.4,7026,150ml,Sensitive,Female,Bottle,Aloe Vera,TRUE,Japan
4219,IT Cosmetics,Makeup Remover,Occasional,120.57,1.6,3348,30ml,Oily,Female,Stick,Vitamin C,FALSE,France
4220,Tatcha,Powder,Weekly,94.17,3.3,4812,50ml,Combination,Unisex,Stick,Vitamin C,TRUE,UK
4221,Juvia’s Place,Foundation,Weekly,76.55,2.7,203,50ml,Dry,Unisex,Tube,Vitamin C,TRUE,South Korea
4222,RMS Beauty,Mascara,Occasional,107.59,3.5,8323,100ml,Oily,Female,Tube,Retinol,TRUE,USA
4223,Rare Beauty,Cleanser,Monthly,99.54,3.9,6021,200ml,Normal,Unisex,Jar,Shea Butter,TRUE,France
4224,Becca,Lip Gloss,Weekly,64.11,4.2,944,100ml,Normal,Female,Jar,Aloe Vera,TRUE,Australia
4225,KVD Beauty,CC Cream,Weekly,128.74,2.1,7895,250ml,Dry,Female,Stick,Vitamin C,TRUE,Japan
4226,Anastasia Beverly Hills,Face Mask,Weekly,129.45,2.7,7746,250ml,Sensitive,Male,Stick,Hyaluronic Acid,FALSE,Japan
4227,Bourjois,Highlighter,Occasional,89.51,3.1,3626,250ml,Dry,Female,Bottle,Vitamin C,TRUE,UK
4228,Perricone MD,Blush,Weekly,149.13,3.7,1337,50ml,Dry,Unisex,Bottle,Glycerin,TRUE,Italy
4229,Fenty Beauty,Serum,Daily,44.89,4.7,7608,50ml,Dry,Female,Tube,Glycerin,TRUE,UK
4230,Yves Saint Laurent,Highlighter,Occasional,65.25,1.8,6771,50ml,Oily,Female,Compact,Vitamin C,TRUE,Australia
4231,Danessa Myricks,Setting Spray,Occasional,11.75,1.8,6184,150ml,Oily,Unisex,Spray,Salicylic Acid,FALSE,Germany
4232,Ilia Beauty,Highlighter,Weekly,137.76,2.6,4293,50ml,Dry,Unisex,Compact,Aloe Vera,FALSE,Italy
4233,Kylie Cosmetics,BB Cream,Weekly,127.45,2.2,7012,50ml,Sensitive,Female,Spray,Hyaluronic Acid,FALSE,South Korea
4234,Bourjois,Highlighter,Daily,43.48,4.8,8937,100ml,Dry,Male,Jar,Salicylic Acid,FALSE,Germany
4235,Rare Beauty,Moisturizer,Monthly,63.16,1.7,4706,250ml,Oily,Female,Bottle,Aloe Vera,TRUE,France
4236,E.l.f.,Makeup Remover,Monthly,37.15,4.9,4604,30ml,Oily,Unisex,Spray,Salicylic Acid,TRUE,Japan
4237,Ilia Beauty,Primer,Weekly,71.13,3.8,2933,100ml,Normal,Male,Jar,Retinol,TRUE,Germany
4238,IT Cosmetics,Moisturizer,Monthly,73.42,4.8,8572,50ml,Normal,Male,Bottle,Retinol,TRUE,Italy
4239,Glossier,Face Oil,Weekly,22.67,2.5,8678,250ml,Oily,Male,Tube,Retinol,TRUE,Australia
4240,Farsali,Serum,Daily,114.75,4.1,3822,150ml,Sensitive,Unisex,Bottle,Vitamin C,FALSE,Japan
4241,Too Faced,Exfoliator,Weekly,20.52,3.8,5221,50ml,Dry,Male,Compact,Vitamin C,TRUE,France
4242,Yves Saint Laurent,Mascara,Occasional,76.08,3.8,8426,100ml,Combination,Female,Tube,Retinol,TRUE,Australia
4243,RMS Beauty,Blush,Occasional,56.77,5.0,8071,250ml,Normal,Female,Compact,Retinol,FALSE,USA
4244,Patrick Ta,Face Oil,Occasional,112.23,4.9,3260,50ml,Dry,Unisex,Tube,Hyaluronic Acid,FALSE,South Korea
4245,Tatcha,Foundation,Monthly,96.66,2.6,7440,250ml,Oily,Female,Spray,Shea Butter,FALSE,USA
4246,RMS Beauty,Serum,Daily,137.18,2.2,2899,150ml,Normal,Male,Jar,Salicylic Acid,FALSE,Italy
4247,Too Faced,Lipstick,Weekly,52.06,2.6,438,200ml,Combination,Unisex,Jar,Retinol,TRUE,South Korea
4248,Juvia’s Place,Highlighter,Daily,43.27,3.6,2242,200ml,Sensitive,Female,Jar,Aloe Vera,TRUE,Italy
4249,RMS Beauty,Eyeliner,Weekly,86.58,4.6,5899,150ml,Dry,Unisex,Stick,Shea Butter,FALSE,Germany
4250,Glossier,Primer,Occasional,14.16,4.9,1354,30ml,Sensitive,Male,Tube,Shea Butter,FALSE,Italy
4251,Shiseido,Lipstick,Occasional,131.38,3.2,6550,30ml,Normal,Male,Compact,Salicylic Acid,TRUE,Australia
4252,NARS,BB Cream,Weekly,52.79,2.0,8352,250ml,Dry,Unisex,Compact,Shea Butter,TRUE,Italy
4253,Milk Makeup,Concealer,Daily,119.83,1.0,9989,100ml,Sensitive,Male,Spray,Glycerin,TRUE,Italy
4254,Anastasia Beverly Hills,Powder,Occasional,127.5,1.8,5967,200ml,Normal,Unisex,Stick,Aloe Vera,FALSE,Australia
4255,Juvia’s Place,Lipstick,Monthly,122.55,4.0,8912,200ml,Normal,Unisex,Compact,Shea Butter,FALSE,South Korea
4256,Clinique,Serum,Weekly,70.39,2.1,3712,200ml,Oily,Unisex,Tube,Hyaluronic Acid,FALSE,USA
4257,Danessa Myricks,BB Cream,Occasional,116.98,2.1,9628,50ml,Dry,Unisex,Compact,Aloe Vera,FALSE,Australia
4258,Yves Saint Laurent,Contour,Monthly,38.17,1.9,7772,150ml,Dry,Unisex,Spray,Vitamin C,FALSE,Australia
4259,Danessa Myricks,Blush,Weekly,37.12,4.5,735,30ml,Oily,Male,Compact,Aloe Vera,TRUE,Italy
4260,Clinique,Moisturizer,Weekly,13.63,4.7,5472,50ml,Dry,Female,Spray,Retinol,TRUE,France
4261,RMS Beauty,Bronzer,Weekly,32.52,2.3,6955,200ml,Oily,Unisex,Jar,Aloe Vera,FALSE,UK
4262,Kiehl’s,Lip Gloss,Weekly,143.22,2.7,1202,30ml,Dry,Female,Tube,Glycerin,FALSE,USA
4263,Charlotte Tilbury,Face Oil,Occasional,144.11,2.3,1511,100ml,Dry,Unisex,Stick,Glycerin,TRUE,France
4264,Morphe,Primer,Occasional,121.96,2.1,9911,200ml,Dry,Male,Spray,Salicylic Acid,TRUE,Japan
4265,Bobby Brown,Contour,Weekly,118.2,1.7,5828,150ml,Combination,Female,Stick,Aloe Vera,TRUE,Australia
4266,Juvia’s Place,Powder,Daily,23.33,3.3,5442,30ml,Sensitive,Unisex,Jar,Vitamin C,TRUE,Australia
4267,Danessa Myricks,Face Mask,Monthly,36.4,2.3,6836,250ml,Dry,Unisex,Bottle,Retinol,FALSE,Japan
4268,NARS,Lipstick,Monthly,102.37,2.1,1521,150ml,Sensitive,Unisex,Bottle,Shea Butter,FALSE,Germany
4269,Fenty Beauty,Face Oil,Monthly,65.69,1.0,3594,150ml,Dry,Unisex,Jar,Retinol,FALSE,France
4270,Danessa Myricks,Moisturizer,Monthly,26.74,4.7,4598,50ml,Normal,Unisex,Bottle,Retinol,TRUE,Germany
4271,ColourPop,Foundation,Weekly,94.81,1.9,7645,200ml,Sensitive,Male,Tube,Glycerin,TRUE,Germany
4272,E.l.f.,Cleanser,Daily,15.36,4.9,5936,200ml,Normal,Male,Tube,Vitamin C,TRUE,UK
4273,Pat McGrath Labs,Eye Shadow,Monthly,49.92,3.8,941,250ml,Combination,Unisex,Compact,Salicylic Acid,TRUE,Australia
4274,Danessa Myricks,Face Mask,Weekly,140.34,4.7,3776,100ml,Normal,Female,Stick,Salicylic Acid,FALSE,USA
4275,Huda Beauty,Eyeliner,Daily,21.85,1.6,1091,200ml,Dry,Female,Stick,Glycerin,TRUE,Australia
4276,Kylie Cosmetics,Concealer,Monthly,85.05,3.3,4691,250ml,Dry,Unisex,Stick,Vitamin C,FALSE,Italy
4277,Anastasia Beverly Hills,Lip Liner,Daily,145.4,1.1,9952,100ml,Combination,Female,Bottle,Shea Butter,FALSE,Japan
4278,Bourjois,CC Cream,Occasional,137.94,1.2,9831,150ml,Normal,Female,Compact,Vitamin C,FALSE,USA
4279,Fenty Beauty,Exfoliator,Daily,55.69,2.1,9665,150ml,Sensitive,Female,Spray,Vitamin C,FALSE,South Korea
4280,Bobby Brown,Powder,Daily,75.68,2.3,9380,100ml,Combination,Unisex,Stick,Vitamin C,FALSE,South Korea
4281,Huda Beauty,Eyeliner,Monthly,14.38,4.8,1719,200ml,Combination,Unisex,Bottle,Shea Butter,FALSE,Australia
4282,Fenty Beauty,CC Cream,Weekly,144.17,1.1,2967,50ml,Oily,Female,Compact,Aloe Vera,TRUE,France
4283,Morphe,Exfoliator,Daily,47.96,2.3,1872,100ml,Sensitive,Male,Stick,Shea Butter,TRUE,Japan
4284,Juvia’s Place,Cleanser,Daily,47.97,5.0,4668,30ml,Sensitive,Unisex,Compact,Vitamin C,TRUE,South Korea
4285,Danessa Myricks,CC Cream,Weekly,11.87,2.9,542,30ml,Oily,Male,Tube,Retinol,TRUE,UK
4286,Perricone MD,Lip Liner,Weekly,41.97,4.4,4635,30ml,Dry,Male,Compact,Hyaluronic Acid,TRUE,Japan
4287,Clinique,Serum,Monthly,64.45,1.8,8180,50ml,Combination,Unisex,Bottle,Salicylic Acid,TRUE,Japan
4288,RMS Beauty,Lip Liner,Occasional,126.92,1.9,8286,30ml,Oily,Male,Tube,Vitamin C,FALSE,France
4289,Yves Saint Laurent,Contour,Occasional,80.92,3.8,581,30ml,Combination,Female,Compact,Hyaluronic Acid,TRUE,Italy
4290,Pat McGrath Labs,Concealer,Monthly,110.46,3.7,9869,30ml,Oily,Female,Stick,Shea Butter,TRUE,UK
